brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
generations#;95;3;2;17;1;46;2;26;23;2;32;22;33;9;19;119;83;10;19;36;7;5;17;3;66
difftime;148;6;4;26;3;76;6;40;39;4;56;32;46;13;32;165;139;16;33;60;13;11;30;7;123
"[(16,17,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,-100]}
generations#;19;199;18;199;199;14;17;126;199;199;199;199;142;199;123;199;199;199;199;199;199;199;76;199;199
difftime;32;303;29;338;341;25;29;190;316;279;285;303;192;285;178;326;307;309;287;328;349;350;138;334;358
"[(16,20,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]}
generations#;2;199;5;21;3;41;22;3;199;80;8;199;6;11;43;74;16;35;2;4;30;9;12;39;13
difftime;5;297;11;37;6;58;38;7;310;106;14;317;10;15;64;126;28;59;5;8;51;17;22;72;24
"[(21,22,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,-100]}
generations#;199;76;199;199;199;13;199;199;199;125;199;30;1;199;199;199;199;43;199;199;199;199;199;14;199
