brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(4,5,""inFor""),(-1,-1,""exit"")]";[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]}
generations#;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
difftime;1;1;1;1;0;2;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;2;0;1;1;0;1;1;1;1;1;0;0;1;0;2;1;1;0
"[(6,7,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,7,8,9,10,11,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,12,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,7,8,9,10,11,4,5,6,12,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,12,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,7,8,9,10,11,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,7,8,9,10,11,4,5,6,12,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,5,6,12,4,5,6,12,4,5,6,12,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,7,8,9,10,11,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,5,6,12,4,5,6,7,8,9,10,11,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,7,8,9,10,11,4,-1]}
generations#;4;6;19;7;7;9;2;5;9;23;7;4;2;7;10;6;8;30;4;20;5;17;18;2;3;3;4;5;14;10;7;6;6;8;2;13;23;9;21;28;17;9;1;12;19;17;8;6;14;0
difftime;4;6;18;7;7;8;2;5;8;21;8;5;2;8;12;8;9;34;5;23;7;17;16;2;4;3;6;6;17;12;9;7;7;9;3;13;22;10;20;27;14;8;2;11;17;16;8;6;12;1
"[(6,12,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,5,6,7,8,9,10,11,4,-1]};[1,2,3,4,5,6,12,4,5,6,12,4,-1]}
generations#;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
difftime;0;1;0;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;0;1;0;1;1;1;1;1;3;1;1;1;1;1;1;1;1;0;0;1;1;1
