brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(2,3,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]}
generations#;2;7;2;7;2;2;7;11;2;2;2;7;8;2;7;5;2;8;6;2;11;8;11;2;7;39;2;4;8;2;7;2;4;2;2;7;2;2;2;2;2;5;8;2;7;7;7;2;2;6
difftime;2;4;2;5;2;2;5;6;2;2;2;4;4;2;4;3;2;5;4;2;6;4;6;2;4;18;2;3;5;2;4;2;3;2;2;5;2;2;3;2;2;4;4;2;4;5;5;2;2;4
"[(2,9,""else""),(-1,-1,""exit"")]";[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1
