brunch;1;2;3;4;5;6;7;8;9;10
starttime;05:45:24;06:22:06;07:10:09;07:53:06;08:22:20;09:09:28;09:37:11;10:02:09;10:36:44;11:12:06
endtime;05:52:18;06:28:59;07:17:02;07:54:58;08:29:01;09:10:24;09:39:57;10:04:42;10:43:32;11:18:48
difftime;414;413;413;112;401;56;166;153;408;402
"(38,46,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;1;1;1;2;2;1;1;1;1
starttime;05:52:18;06:28:59;07:17:02;07:54:58;08:29:01;09:10:24;09:39:57;10:04:42;10:43:32;11:18:48
endtime;05:52:22;06:29:03;07:17:06;07:55:02;08:29:07;09:10:29;09:40:01;10:04:45;10:43:36;11:18:52
difftime;4;4;4;4;6;5;4;3;4;4
"(47,48,""then"")";(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,7.0,0);(1.25,6.0,0);(0.0,7.0,0);(0.0,7.0,0)
generations#;199;188;33;49;199;36;199;199;199;199
starttime;05:52:22;06:29:03;07:17:06;07:55:02;08:29:07;09:10:29;09:40:01;10:04:45;10:43:36;11:18:52
endtime;05:59:20;06:35:34;07:18:15;07:56:46;08:35:42;09:11:45;09:46:51;10:11:37;10:50:22;11:25:36
difftime;418;391;69;104;395;76;410;412;406;404
"(47,55,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;1;2;1;1;1;2;2;1;3
starttime;05:59:20;06:35:34;07:18:15;07:56:46;08:35:42;09:11:45;09:46:51;10:11:37;10:50:22;11:25:36
endtime;05:59:24;06:35:38;07:18:21;07:56:50;08:35:46;09:11:49;09:46:57;10:11:44;10:50:26;11:25:44
difftime;4;4;6;4;4;4;6;7;4;8
"(56,57,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;4;92;149;90;14;199;179;126;33;18
starttime;05:59:24;06:35:38;07:18:21;07:56:50;08:35:46;09:11:49;09:46:57;10:11:44;10:50:26;11:25:44
endtime;05:59:34;06:38:55;07:23:34;08:00:01;08:36:15;09:18:32;09:52:34;10:15:43;10:51:32;11:26:22
difftime;10;197;313;191;29;403;337;239;66;38
"(56,64,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;1;1;1;3;1;1;1;2;1
starttime;05:59:34;06:38:55;07:23:34;08:00:01;08:36:15;09:18:32;09:52:34;10:15:43;10:51:32;11:26:22
endtime;05:59:40;06:38:59;07:23:38;08:00:05;08:36:23;09:18:36;09:52:38;10:15:47;10:51:38;11:26:26
difftime;6;4;4;4;8;4;4;4;6;4
"(69,70,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;1;1;1;3;2;1;2;3;2
starttime;05:59:40;06:38:59;07:23:38;08:00:05;08:36:23;09:18:36;09:52:38;10:15:47;10:51:38;11:26:26
endtime;05:59:46;06:39:03;07:23:42;08:00:09;08:36:31;09:18:42;09:52:42;10:15:52;10:51:45;11:26:32
difftime;6;4;4;4;8;6;4;5;7;6
"(69,71,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.4545454545454546,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.475,0.0,0)
generations#;6;16;25;17;199;16;23;7;21;199
starttime;05:59:46;06:39:03;07:23:42;08:00:09;08:36:31;09:18:42;09:52:42;10:15:52;10:51:45;11:26:32
endtime;06:00:00;06:39:38;07:24:36;08:00:45;08:43:14;09:19:17;09:53:29;10:16:07;10:52:28;11:33:29
difftime;14;35;54;36;403;35;47;15;43;417
