brunch;1;2;3;4;5;6;7;8;9;10
"(6,7,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;2;1;5;1;4;2;1;2;2
difftime;3;3;2;5;2;4;2;3;3;3
"(6,10,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;7;7;7;4;2;1;6;6;2
difftime;4;7;8;7;5;3;3;7;7;3
"(11,12,""then"")";(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;28;199;9;199;11;4;23;12;19;16
difftime;25;197;9;189;12;5;19;13;18;16
"(11,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;5;5;5;7;5;4;5;1;1;15
difftime;6;6;6;8;6;5;6;2;2;15
"(16,17,""then"")";(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;199;26;16;199;199;16;38;14;16;11
difftime;209;27;16;201;200;16;42;14;18;11
"(16,20,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;5;4;6;5;8;4;14;5;6;147
difftime;6;5;7;6;9;5;14;6;7;142
"(21,22,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0)
generations#;28;12;16;37;14;9;199;2;5;199
difftime;27;14;16;38;15;10;195;3;6;193
"(21,25,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;7;18;4;5;7;5;1;14;4;7
difftime;8;17;6;6;7;6;2;14;6;7
"(29,30,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.375,0.0,0);(0.0,0.0,0);(1.4,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;50;148;17;59;40;199;58;199;61;48
difftime;48;148;16;52;35;179;55;179;53;46
"(29,37,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;4;4;4;1;4;4;1;5;1;2
difftime;5;6;5;2;5;5;3;6;2;3
"(38,39,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;13;16;12;44;24;77;11;199;41;22
difftime;14;15;11;44;18;72;11;197;40;21
"(38,46,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;2;1;2;4;2;1;1;2;2
difftime;3;4;2;4;4;4;3;3;3;4
"(47,48,""then"")";(0.0,0.0,0);(0.0,0.0,0);(1.4375,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.4375,0.0,0);(1.4545454545454546,0.0,0);(0.0,0.0,0)
generations#;55;16;199;199;46;16;6;199;199;22
difftime;49;15;163;183;36;16;7;182;179;21
"(47,55,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;4;1;2;1;2;2;2;1;4;4
difftime;5;2;3;2;3;4;3;3;5;5
"(56,57,""then"")";(0.0,0.0,0);(0.0,0.0,0);(1.3333333333333333,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.3333333333333333,0.0,0);(0.0,0.0,0);(1.25,6.0,0)
generations#;40;161;199;21;13;12;105;199;30;199
difftime;39;145;184;22;12;13;97;182;30;177
"(56,64,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;4;2;1;1;2;2;1;1;2
difftime;4;5;3;3;2;3;4;3;2;3
"(69,70,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;5;4;1;4;2;4;5;1;1;1
