brunch;1;2;3;4;5;6;7;8;9;10
"(5,6,""inFor"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;3;2;0;0;0;0
difftime;1;1;1;1;4;3;1;1;1;1
"(7,8,""then"")";(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0)
generations#;199;0;13;5;107;3;10;3;199;0
difftime;225;1;14;5;116;4;11;4;250;1
"(7,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;1;0;0
difftime;1;1;1;1;1;0;1;2;1;1
"(10,11,""then"")";(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;199;9;3;6;11;4;3;7;2;3
difftime;286;9;4;7;13;5;4;9;3;4
"(10,14,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0)
generations#;5;6;38;199;9;199;25;12;199;17
difftime;5;7;40;207;10;209;29;14;202;17
