brunch;1;2;3;4;5;6;7;8;9;10
starttime;16:39:59;16:56:20;17:04:15;17:11:28;17:16:30;17:23:09;17:30:35;17:37:39;17:52:13;18:00:41
endtime;16:42:23;16:56:56;17:05:05;17:12:31;17:17:39;17:23:51;17:32:05;17:40:49;17:54:40;18:03:33
difftime;144;36;50;63;69;42;90;190;147;172
"(38,46,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;4;4;2;4;4;2;4;2;1
starttime;16:42:23;16:56:56;17:05:05;17:12:31;17:17:39;17:23:51;17:32:05;17:40:49;17:54:40;18:03:33
endtime;16:42:25;16:57:02;17:05:10;17:12:34;17:17:44;17:23:57;17:32:08;17:40:55;17:54:44;18:03:36
difftime;2;6;5;3;5;6;3;6;4;3
"(47,48,""then"")";(1.4375,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;199;12;38;20;9;55;17;17;10;27
starttime;16:42:25;16:57:02;17:05:10;17:12:34;17:17:44;17:23:57;17:32:08;17:40:55;17:54:44;18:03:36
endtime;16:45:01;16:57:15;17:05:44;17:12:52;17:17:54;17:24:49;17:32:26;17:41:12;17:54:55;18:04:01
difftime;156;13;34;18;10;52;18;17;11;25
"(47,55,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;4;4;4;1;4;2;3;1;4;1
starttime;16:45:01;16:57:15;17:05:44;17:12:52;17:17:54;17:24:49;17:32:26;17:41:12;17:54:55;18:04:01
endtime;16:45:06;16:57:20;17:05:49;17:12:54;17:17:59;17:24:52;17:32:30;17:41:15;17:55:00;18:04:04
difftime;5;5;5;2;5;3;4;3;5;3
"(56,57,""then"")";(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;199;46;25;5;5;36;9;199;16;124
starttime;16:45:06;16:57:20;17:05:49;17:12:54;17:17:59;17:24:52;17:32:30;17:41:15;17:55:00;18:04:04
endtime;16:48:18;16:58:01;17:06:14;17:13:00;17:18:05;17:25:25;17:32:40;17:44:17;17:55:16;18:05:52
difftime;192;41;25;6;6;33;10;182;16;108
"(56,64,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;4;2;2;2;4;5;4;1;4;2
starttime;16:48:18;16:58:01;17:06:14;17:13:00;17:18:05;17:25:25;17:32:40;17:44:17;17:55:16;18:05:52
endtime;16:48:24;16:58:04;17:06:18;17:13:03;17:18:10;17:25:32;17:32:45;17:44:20;17:55:21;18:05:56
difftime;6;3;4;3;5;7;5;3;5;4
"(69,70,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;4;1;5;4;1;4;4;4;4
starttime;16:48:24;16:58:04;17:06:18;17:13:03;17:18:10;17:25:32;17:32:45;17:44:20;17:55:21;18:05:56
endtime;16:48:27;16:58:10;17:06:20;17:13:09;17:18:15;17:25:35;17:32:51;17:44:26;17:55:27;18:06:01
difftime;3;6;2;6;5;3;6;6;6;5
"(69,71,""else"")";(1.4736842105263157,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.475,0.0,0);(1.475,0.0,0);(1.49,0.0,0);(1.4878048780487805,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;199;15;7;112;199;199;199;199;104;2
starttime;16:48:27;16:58:10;17:06:20;17:13:09;17:18:15;17:25:35;17:32:51;17:44:26;17:55:27;18:06:01
endtime;16:51:58;16:58:27;17:06:29;17:14:49;17:21:47;17:28:52;17:35:43;17:47:35;17:57:01;18:06:05
difftime;211;17;9;100;212;197;172;189;94;4
