brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(2,3,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]};[1,2,3,4,5,6,7,8,-1]}
generations#;7;2;11;11;7;4;1;7;6;7;4;2;2;2;7;7;1;13;2;2;1;18;6;7;8;1;20;4;7;2;2;2;1;2;2;5;16;12;7;2;13;2;4;2;7;4;4;1;6;11
difftime;4;2;6;5;4;2;1;5;4;4;3;2;2;2;4;5;2;8;2;3;2;10;4;4;4;1;10;3;4;2;2;2;2;2;2;3;9;6;4;2;6;2;3;2;4;3;3;2;4;6
"[(2,9,""else""),(-1,-1,""exit"")]";[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]};[1,2,9,-1]}
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;2;1;2;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;2;1;1;1;2;1;2;1;2;1;2;2;1;1;2;1;2;1;1;1;1
