brunch;1;2;3;4;5;6;7;8;9;10
"(3,4,""inFor"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;2;1;5;14;1;2;6;1;6
difftime;2;3;3;5;15;2;3;7;2;7
"(5,6,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;2;7;3;4;2;2;3;2;16
difftime;2;3;8;4;4;3;3;4;4;18
"(5,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0)
generations#;127;27;21;32;61;39;76;132;199;150
difftime;147;31;23;34;62;44;90;142;217;173
"(9,10,""then"")";(0.0,0.0,0);(1.4705882352941178,0.0,0);(0.0,0.0,0);(1.4545454545454546,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;19;199;18;199;117;112;78;125;158;15
difftime;22;207;19;208;117;115;90;141;179;17
"(9,14,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;2;4;1;2;5;7;3;1;2
difftime;3;3;5;2;3;6;9;4;2;3
