brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(2,3,""inFor""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]}
generations#;28;59;14;23;22;41;16;73;75;21;24;19;12;10;15;26;19;25;22;13;64;17;17;21;29;11;45;23;12;34;35;15;22;20;22;21;32;45;39;27;26;54;21;22;15;32;47;34;33;10
difftime;26;73;14;21;18;46;15;99;100;27;29;21;15;13;17;27;21;30;29;17;79;20;23;28;35;14;59;30;12;35;45;20;19;27;23;26;34;57;38;29;24;64;20;24;13;34;61;30;37;11
"[(4,5,""inFor""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]};[1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10,4,2,-1]}
generations#;20;17;42;22;38;62;50;14;15;28;21;32;21;56;17;26;18;70;22;16;27;23;16;15;90;21;22;29;30;15;54;23;19;34;11;23;20;19;30;24;23;18;27;17;17;18;14;67;6;23
difftime;21;14;45;23;34;60;56;17;20;28;24;36;28;68;19;26;22;95;28;20;34;31;22;19;102;27;28;35;33;18;67;26;22;37;11;30;20;16;31;28;24;22;25;18;17;21;14;82;5;24
