brunch;1;2;3;4;5;6;7;8;9;10
"(5,6,""inFor"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
difftime;0;1;1;1;1;1;1;1;1;1
"(7,8,""then"")";(0.0,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;199;199;85;64;62;12;199;36;33
difftime;1;157;141;64;53;46;10;166;31;28
"(7,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;0;0;0;0;1;0;0;0;0
difftime;2;1;1;1;1;2;0;1;0;1
"(10,11,""then"")";(4.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(1.25,0.0,0);(4.25,0.0,0);(1.25,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199
difftime;163;164;169;160;172;152;170;167;156;174
"(10,14,""else"")";(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(4.25,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(4.25,0.0,0)
generations#;1;199;29;199;6;6;4;11;0;199
difftime;1;166;24;169;6;6;4;10;1;160
