brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"[(6,7,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,7,8,9,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]}
generations#;5;1;4;5;4;1;4;4;1;2;4;1;1;1;4;5;1;1;2;5;4;4;1;4;1;2;3;4;1;2;2;2;4;1;2;5;1;1;2;4;4;1;4;4;1;1;1;4;2;2
difftime;5;2;4;5;5;3;4;5;2;3;5;3;2;2;4;5;2;3;3;5;4;5;2;4;2;3;4;5;3;4;3;3;4;2;3;5;3;3;3;5;4;3;5;5;2;1;3;5;4;3
"[(6,10,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]}
generations#;7;7;7;4;7;4;7;5;4;6;9;4;1;5;7;4;5;9;12;13;6;5;5;1;4;5;6;2;1;6;10;5;1;2;7;4;2;9;6;4;4;2;5;5;7;1;7;7;4;4
difftime;8;8;8;5;8;5;8;6;6;7;9;5;3;6;8;5;7;10;14;14;7;6;6;2;5;6;7;4;2;6;10;7;2;4;8;5;4;9;7;6;5;3;6;6;7;2;8;7;5;4
"[(11,12,""then""),(-1,-1,""exit"")]";[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,12,13,14,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]}
generations#;12;46;5;4;44;38;43;9;47;35;63;6;39;6;22;55;9;9;13;5;8;5;9;11;48;12;8;7;16;58;10;53;71;7;43;6;17;39;63;70;69;4;52;7;48;17;5;11;44;51
difftime;13;45;7;6;43;38;42;9;45;34;62;8;39;7;17;50;9;9;14;7;7;6;9;12;47;12;8;8;17;53;9;54;67;8;43;7;16;40;62;67;60;6;51;7;50;17;7;11;42;44
"[(11,15,""else""),(-1,-1,""exit"")]";[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,17,18,19,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,25,26,27,28,29,37,38,46,47,55,56,64,65,66,67,68,69,71,-1]};[1,2,3,4,5,6,10,11,15,16,20,21,22,23,24,28,29,37,38,46,47,55,56,64,65,66,67,68,69,70,-1]}
