brunch;1;2;3;4;5;6;7;8;9;10
"(6,7,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;3;2;3;1;2;2;2;2;3;1
difftime;7;5;6;4;5;5;6;5;6;3
"(6,10,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;94;5;8;44;7;14;3;98;3;29
difftime;160;10;14;80;12;27;7;168;7;48
"(11,12,""then"")";(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0)
generations#;52;199;199;199;199;10;9;40;199;199
difftime;87;348;337;364;340;19;17;75;342;340
"(11,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;130;12;59;199;13;9;31;20;90;28
difftime;227;22;104;368;23;17;56;37;155;53
"(16,17,""then"")";(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0)
generations#;199;55;199;199;75;199;199;11;199;199
difftime;369;98;349;367;132;326;365;21;355;354
"(16,20,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;15;12;21;98;14;6;5;13;30;12
difftime;29;23;36;182;26;12;11;24;56;23
"(21,22,""then"")";(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0)
generations#;199;199;199;199;33;199;53;199;199;199
difftime;360;343;343;349;60;359;88;352;344;363
"(21,25,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;77;21;14;22;199;7;199;5;7;33
difftime;143;37;23;39;361;14;328;10;13;60
"(29,30,""then"")";(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0)
generations#;22;199;79;131;35;199;143;178;199;107
difftime;47;390;154;249;71;410;279;354;384;205
"(29,37,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;2;1;4;1;1;1;1;1;2
difftime;3;6;3;9;3;4;3;4;4;6
"(38,39,""then"")";(0.0,7.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,0.0,0)
generations#;199;38;199;68;7;51;199;199;199;86
difftime;398;75;400;138;14;106;390;405;399;148
"(38,46,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;1;1;1;2;2;1;2;1;2
difftime;6;4;3;3;5;6;4;6;4;4
"(47,48,""then"")";(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,0.0,0)
generations#;131;199;45;199;199;47;108;199;199;37
difftime;257;402;92;408;399;95;207;395;392;65
"(47,55,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;2;1;2;1;1;4;1;1;1
difftime;4;5;4;5;3;3;10;4;4;3
"(56,57,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,7.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;186;85;199;199;199;199;182;199;64;12
difftime;374;170;402;386;405;407;359;379;127;22
"(56,64,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;1;1;2;1;2;2;1;1;1;1
difftime;4;3;6;3;6;5;3;4;4;3
"(69,70,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;1;3;2;2;1;2;2;1;2
difftime;5;4;7;5;6;4;6;6;3;6
"(69,71,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(1.4878048780487805,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;9;9;124;34;28;44;5;199;15;14
difftime;19;17;253;65;58;92;10;397;30;27
