brunch;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
"(13,16,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;1;1;1;1;1;2;2;2;2;2;1;2;2;2;1;1;1;1;1;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;1;2;1
"(17,18,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;102;6;0;2;3;11;18;8;0;5;57;10;5;16;3;4;14;0;0;76;43;0;0;29;27;5;0;6;2;8;5;30;2;18;66;4;0;3;3;8;5;21;63;0;6;7;10;2;2;0
difftime;192;13;3;6;8;26;33;17;2;12;95;21;11;29;9;11;29;2;2;146;86;2;2;50;48;12;2;13;5;17;12;59;6;36;129;10;2;8;8;18;11;41;128;2;15;16;18;6;7;2
"(17,20,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
difftime;2;1;1;2;2;1;2;2;1;1;2;2;2;1;1;2;2;2;1;2;2;2;1;1;1;1;2;2;2;2;1;1;2;1;2;2;2;2;2;2;2;2;1;2;1;1;2;1;1;2
"(21,22,""inFor"")";(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0);(1.0,0.0,0)
generations#;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
difftime;276;325;295;250;283;268;267;274;296;293;318;271;269;275;297;273;290;267;291;311;285;289;261;250;279;268;306;294;282;278;300;292;313;286;291;295;289;268;318;275;233;265;267;265;273;260;259;296;275;292
