brunch;1;2;3;4;5;6;7;8;9;10
"(6,7,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;1;3;1;1;2;1;1;2;1
difftime;5;3;7;3;3;5;3;3;5;3
"(6,10,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;14;47;3;63;29;199;13;51;35;15
difftime;25;77;7;104;54;348;22;83;62;27
"(11,12,""then"")";(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0)
generations#;199;199;199;27;199;199;109;199;199;199
difftime;355;345;359;45;359;328;187;344;347;358
"(11,15,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;3;6;3;4;27;2;6;53;11;63
difftime;7;12;7;8;51;6;12;93;18;107
"(16,17,""then"")";(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0)
generations#;199;199;199;199;33;199;139;199;199;199
difftime;340;352;361;354;60;349;247;348;342;347
"(16,20,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;16;29;50;13;22;61;11;26;47;24
difftime;29;54;84;25;41;109;21;48;75;44
"(21,22,""then"")";(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,0.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0);(0.0,6.0,0)
